INKT,Date
12.0,2021-10-15
11.699999809265137,2021-10-18
12.100000381469727,2021-10-19
12.220000267028809,2021-10-20
12.59000015258789,2021-10-21
12.039999961853027,2021-10-22
11.989999771118164,2021-10-25
12.4399995803833,2021-10-26
13.5600004196167,2021-10-27
14.510000228881836,2021-10-28
17.889999389648438,2021-10-29
18.940000534057617,2021-11-01
19.90999984741211,2021-11-02
18.93000030517578,2021-11-03
18.989999771118164,2021-11-04
17.3799991607666,2021-11-05
18.959999084472656,2021-11-08
19.799999237060547,2021-11-09
19.0,2021-11-10
20.030000686645508,2021-11-11
16.399999618530273,2021-11-12
17.43000030517578,2021-11-15
16.18000030517578,2021-11-16
16.989999771118164,2021-11-17
16.0,2021-11-18
15.979999542236328,2021-11-19
16.8700008392334,2021-11-22
16.920000076293945,2021-11-23
18.760000228881836,2021-11-24
20.010000228881836,2021-11-26
13.279999732971191,2021-11-29
11.600000381469727,2021-11-30
11.680000305175781,2021-12-01
10.649999618530273,2021-12-02
10.479999542236328,2021-12-03
6.849999904632568,2021-12-06
7.570000171661377,2021-12-07
7.050000190734863,2021-12-08
6.71999979019165,2021-12-09
6.119999885559082,2021-12-10
5.340000152587891,2021-12-13
5.130000114440918,2021-12-14
5.400000095367432,2021-12-15
4.389999866485596,2021-12-16
4.269999980926514,2021-12-17
4.440000057220459,2021-12-20
4.449999809265137,2021-12-21
4.119999885559082,2021-12-22
4.679999828338623,2021-12-23
4.300000190734863,2021-12-27
4.210000038146973,2021-12-28
4.28000020980835,2021-12-29
4.170000076293945,2021-12-30
4.460000038146973,2021-12-31
4.75,2022-01-03
4.320000171661377,2022-01-04
4.139999866485596,2022-01-05
4.019999980926514,2022-01-06
3.990000009536743,2022-01-07
3.5899999141693115,2022-01-10
3.640000104904175,2022-01-11
3.9200000762939453,2022-01-12
3.359999895095825,2022-01-13
3.1700000762939453,2022-01-14
3.190000057220459,2022-01-18
3.2699999809265137,2022-01-19
3.1700000762939453,2022-01-20
3.119999885559082,2022-01-21
2.819999933242798,2022-01-24
3.059999942779541,2022-01-25
3.0899999141693115,2022-01-26
2.880000114440918,2022-01-27
2.890000104904175,2022-01-28
3.2899999618530273,2022-01-31
3.609999895095825,2022-02-01
3.5999999046325684,2022-02-02
3.200000047683716,2022-02-03
3.2100000381469727,2022-02-04
3.200000047683716,2022-02-07
2.9700000286102295,2022-02-08
2.950000047683716,2022-02-09
2.940000057220459,2022-02-10
2.7899999618530273,2022-02-11
2.759999990463257,2022-02-14
2.8399999141693115,2022-02-15
2.819999933242798,2022-02-16
2.619999885559082,2022-02-17
2.490000009536743,2022-02-18
2.4800000190734863,2022-02-22
2.440000057220459,2022-02-23
2.869999885559082,2022-02-24
2.5899999141693115,2022-02-25
2.9700000286102295,2022-02-28
3.109999895095825,2022-03-01
2.8499999046325684,2022-03-02
2.9200000762939453,2022-03-03
2.9100000858306885,2022-03-04
2.569999933242798,2022-03-07
2.619999885559082,2022-03-08
2.890000104904175,2022-03-09
2.6500000953674316,2022-03-10
2.2899999618530273,2022-03-11
2.240000009536743,2022-03-14
2.2699999809265137,2022-03-15
2.5899999141693115,2022-03-16
3.0999999046325684,2022-03-17
3.140000104904175,2022-03-18
2.9100000858306885,2022-03-21
2.859999895095825,2022-03-22
2.9700000286102295,2022-03-23
2.8499999046325684,2022-03-24
2.450000047683716,2022-03-25
2.2200000286102295,2022-03-28
2.359999895095825,2022-03-29
2.200000047683716,2022-03-30
2.25,2022-03-31
2.3499999046325684,2022-04-01
2.2300000190734863,2022-04-04
2.180000066757202,2022-04-05
2.4200000762939453,2022-04-06
2.940000057220459,2022-04-07
2.75,2022-04-08
2.4700000286102295,2022-04-11
3.180000066757202,2022-04-12
3.25,2022-04-13
2.930000066757202,2022-04-14
2.4700000286102295,2022-04-18
2.3499999046325684,2022-04-19
2.3299999237060547,2022-04-20
2.299999952316284,2022-04-21
2.2899999618530273,2022-04-22
2.450000047683716,2022-04-25
2.2300000190734863,2022-04-26
2.569999933242798,2022-04-27
2.240000009536743,2022-04-28
2.240000009536743,2022-04-29
2.2899999618530273,2022-05-02
2.2300000190734863,2022-05-03
2.240000009536743,2022-05-04
2.069999933242798,2022-05-05
1.9500000476837158,2022-05-06
1.7599999904632568,2022-05-09
1.5199999809265137,2022-05-10
1.2899999618530273,2022-05-11
1.350000023841858,2022-05-12
1.2899999618530273,2022-05-13
1.25,2022-05-16
1.2899999618530273,2022-05-17
1.2599999904632568,2022-05-18
1.2999999523162842,2022-05-19
1.309999942779541,2022-05-20
1.3200000524520874,2022-05-23
1.2899999618530273,2022-05-24
1.309999942779541,2022-05-25
1.3600000143051147,2022-05-26
1.6699999570846558,2022-05-27
1.5499999523162842,2022-05-31
1.5,2022-06-01
1.5399999618530273,2022-06-02
1.649999976158142,2022-06-03
1.4900000095367432,2022-06-06
1.840000033378601,2022-06-07
1.649999976158142,2022-06-08
1.5299999713897705,2022-06-09
1.6299999952316284,2022-06-10
1.7300000190734863,2022-06-13
2.0199999809265137,2022-06-14
1.8700000047683716,2022-06-15
1.659999966621399,2022-06-16
1.6100000143051147,2022-06-17
1.5399999618530273,2022-06-21
1.5399999618530273,2022-06-22
1.7799999713897705,2022-06-23
1.5099999904632568,2022-06-24
1.5099999904632568,2022-06-27
1.3300000429153442,2022-06-28
1.4199999570846558,2022-06-29
1.409999966621399,2022-06-30
1.399999976158142,2022-07-01
1.399999976158142,2022-07-05
1.409999966621399,2022-07-06
1.3700000047683716,2022-07-07
1.3200000524520874,2022-07-08
1.2300000190734863,2022-07-11
1.2599999904632568,2022-07-12
1.190000057220459,2022-07-13
1.190000057220459,2022-07-14
1.2699999809265137,2022-07-15
1.340000033378601,2022-07-18
1.440000057220459,2022-07-19
1.559999942779541,2022-07-20
1.440000057220459,2022-07-21
1.3799999952316284,2022-07-22
1.340000033378601,2022-07-25
1.3200000524520874,2022-07-26
1.399999976158142,2022-07-27
1.340000033378601,2022-07-28
1.309999942779541,2022-07-29
1.25,2022-08-01
1.2400000095367432,2022-08-02
1.3300000429153442,2022-08-03
1.4049999713897705,2022-08-04
1.350000023841858,2022-08-05
1.3600000143051147,2022-08-08
1.3200000524520874,2022-08-09
1.5399999618530273,2022-08-10
1.6799999475479126,2022-08-11
1.7100000381469727,2022-08-12
3.4000000953674316,2022-08-15
3.25,2022-08-16
3.0199999809265137,2022-08-17
2.759999990463257,2022-08-18
2.5999999046325684,2022-08-19
2.7200000286102295,2022-08-22
2.7899999618530273,2022-08-23
2.740000009536743,2022-08-24
2.4800000190734863,2022-08-25
2.3499999046325684,2022-08-26
2.3399999141693115,2022-08-29
2.299999952316284,2022-08-30
2.630000114440918,2022-08-31
2.4600000381469727,2022-09-01
2.5799999237060547,2022-09-02
2.5999999046325684,2022-09-06
2.5799999237060547,2022-09-07
2.9200000762939453,2022-09-08
2.7899999618530273,2022-09-09
2.680000066757202,2022-09-12
2.4800000190734863,2022-09-13
2.5999999046325684,2022-09-14
2.619999885559082,2022-09-15
2.4000000953674316,2022-09-16
2.299999952316284,2022-09-19
2.109999895095825,2022-09-20
2.0299999713897705,2022-09-21
2.0199999809265137,2022-09-22
1.9700000286102295,2022-09-23
2.1600000858306885,2022-09-26
2.0,2022-09-27
2.119999885559082,2022-09-28
2.059999942779541,2022-09-29
2.109999895095825,2022-09-30
2.240000009536743,2022-10-03
2.069999933242798,2022-10-04
2.2100000381469727,2022-10-05
2.1500000953674316,2022-10-06
2.190000057220459,2022-10-07
2.130000114440918,2022-10-10
1.9500000476837158,2022-10-11
1.909999966621399,2022-10-12
1.9500000476837158,2022-10-13
1.8899999856948853,2022-10-14
1.9900000095367432,2022-10-17
2.069999933242798,2022-10-18
1.9800000190734863,2022-10-19
2.069999933242798,2022-10-20
1.9800000190734863,2022-10-21
2.0799999237060547,2022-10-24
2.0450000762939453,2022-10-25
2.059999942779541,2022-10-26
2.0999999046325684,2022-10-27
2.0299999713897705,2022-10-28
2.180000066757202,2022-10-31
2.2300000190734863,2022-11-01
2.130000114440918,2022-11-02
2.25,2022-11-03
2.440000057220459,2022-11-04
2.5250000953674316,2022-11-07
2.509999990463257,2022-11-08
2.5,2022-11-09
2.180000066757202,2022-11-10
3.0,2022-11-11
2.924999952316284,2022-11-14
3.068000078201294,2022-11-15
3.1600000858306885,2022-11-16
2.9739999771118164,2022-11-17
2.6600000858306885,2022-11-18
2.5999999046325684,2022-11-21
2.5,2022-11-22
2.5439999103546143,2022-11-23
2.569999933242798,2022-11-25
2.5799999237060547,2022-11-28
2.5,2022-11-29
2.6500000953674316,2022-11-30
2.619999885559082,2022-12-01
2.5199999809265137,2022-12-02
2.5399999618530273,2022-12-05
2.5199999809265137,2022-12-06
2.509999990463257,2022-12-07
2.549999952316284,2022-12-08
2.505000114440918,2022-12-09
2.509999990463257,2022-12-12
2.299999952316284,2022-12-13
2.299999952316284,2022-12-14
2.2100000381469727,2022-12-15
2.2699999809265137,2022-12-16
2.190000057220459,2022-12-19
2.1500000953674316,2022-12-20
2.309999942779541,2022-12-21
2.390000104904175,2022-12-22
2.319999933242798,2022-12-23
2.309999942779541,2022-12-27
2.180000066757202,2022-12-28
2.2799999713897705,2022-12-29
2.609999895095825,2022-12-30
2.5799999237060547,2023-01-03
2.380000114440918,2023-01-04
2.309999942779541,2023-01-05
2.36899995803833,2023-01-06
2.319999933242798,2023-01-09
2.2699999809265137,2023-01-10
2.2699999809265137,2023-01-11
2.1500000953674316,2023-01-12
2.359999895095825,2023-01-13
2.369999885559082,2023-01-17
2.369999885559082,2023-01-18
2.380000114440918,2023-01-19
2.2799999713897705,2023-01-20
2.2899999618530273,2023-01-23
2.2049999237060547,2023-01-24
2.130000114440918,2023-01-25
2.2100000381469727,2023-01-26
2.240000009536743,2023-01-27
2.2899999618530273,2023-01-30
2.2869999408721924,2023-01-31
2.190000057220459,2023-02-01
2.1500000953674316,2023-02-02
2.2200000286102295,2023-02-03
2.265000104904175,2023-02-06
2.240000009536743,2023-02-07
2.2100000381469727,2023-02-08
2.2699999809265137,2023-02-09
2.200000047683716,2023-02-10
2.0999999046325684,2023-02-13
2.009999990463257,2023-02-14
2.009999990463257,2023-02-15
2.0999999046325684,2023-02-16
2.109999895095825,2023-02-17
2.0299999713897705,2023-02-21
2.0,2023-02-22
2.114000082015991,2023-02-23
2.109999895095825,2023-02-24
2.0,2023-02-27
2.0299999713897705,2023-02-28
2.0899999141693115,2023-03-01
2.059999942779541,2023-03-02
2.1449999809265137,2023-03-03
2.109999895095825,2023-03-06
2.265000104904175,2023-03-07
2.1500000953674316,2023-03-08
2.1500000953674316,2023-03-09
2.0,2023-03-10
2.1700000762939453,2023-03-13
2.130000114440918,2023-03-14
2.009999990463257,2023-03-15
2.0399999618530273,2023-03-16
2.2200000286102295,2023-03-17
2.0799999237060547,2023-03-20
2.0420000553131104,2023-03-21
2.0899999141693115,2023-03-22
2.009999990463257,2023-03-23
2.009999990463257,2023-03-24
2.009999990463257,2023-03-27
2.109999895095825,2023-03-28
2.0399999618530273,2023-03-29
1.909999966621399,2023-03-30
1.8949999809265137,2023-03-31
1.899999976158142,2023-04-03
1.9700000286102295,2023-04-04
1.8700000047683716,2023-04-05
1.9800000190734863,2023-04-06
2.109999895095825,2023-04-10
2.1500000953674316,2023-04-11
2.1649999618530273,2023-04-12
2.2699999809265137,2023-04-13
2.2100000381469727,2023-04-14
2.2100000381469727,2023-04-17
2.119999885559082,2023-04-18
2.049999952316284,2023-04-19
2.009999990463257,2023-04-20
2.0999999046325684,2023-04-21
2.1600000858306885,2023-04-24
2.0999999046325684,2023-04-25
2.049999952316284,2023-04-26
1.8799999952316284,2023-04-27
1.7899999618530273,2023-04-28
1.090000033378601,2023-05-01
0.8899999856948853,2023-05-02
1.1699999570846558,2023-05-03
1.25,2023-05-04
1.5800000429153442,2023-05-05
1.8200000524520874,2023-05-08
1.690000057220459,2023-05-09
1.5099999904632568,2023-05-10
1.6200000047683716,2023-05-11
1.7200000286102295,2023-05-12
1.690000057220459,2023-05-15
1.6799999475479126,2023-05-16
1.7999999523162842,2023-05-17
1.7200000286102295,2023-05-18
1.7799999713897705,2023-05-19
2.0799999237060547,2023-05-22
2.1600000858306885,2023-05-23
2.059999942779541,2023-05-24
1.940000057220459,2023-05-25
1.9199999570846558,2023-05-26
1.8799999952316284,2023-05-30
1.7599999904632568,2023-05-31
1.7999999523162842,2023-06-01
1.8300000429153442,2023-06-02
1.8200000524520874,2023-06-05
1.9199999570846558,2023-06-06
2.2200000286102295,2023-06-07
2.240000009536743,2023-06-08
2.180000066757202,2023-06-09
2.180000066757202,2023-06-12
2.2899999618530273,2023-06-13
2.2699999809265137,2023-06-14
2.4000000953674316,2023-06-15
2.7300000190734863,2023-06-16
2.7200000286102295,2023-06-20
2.7200000286102295,2023-06-21
3.325000047683716,2023-06-22
2.559999942779541,2023-06-23
2.3499999046325684,2023-06-26
2.359999895095825,2023-06-27
2.2300000190734863,2023-06-28
2.0899999141693115,2023-06-29
2.0999999046325684,2023-06-30
2.0199999809265137,2023-07-03
2.0,2023-07-05
2.0899999141693115,2023-07-06
2.0,2023-07-07
2.0,2023-07-10
1.909999966621399,2023-07-11
1.899999976158142,2023-07-12
1.8600000143051147,2023-07-13
1.8300000429153442,2023-07-14
1.8899999856948853,2023-07-17
1.8899999856948853,2023-07-18
1.9199999570846558,2023-07-19
1.840000033378601,2023-07-20
1.8300000429153442,2023-07-21
1.7599999904632568,2023-07-24
1.7000000476837158,2023-07-25
1.75,2023-07-26
1.6699999570846558,2023-07-27
1.7300000190734863,2023-07-28
1.8700000047683716,2023-07-31
1.7300000190734863,2023-08-01
1.7400000095367432,2023-08-02
1.7200000286102295,2023-08-03
1.809999942779541,2023-08-04
1.8600000143051147,2023-08-07
1.850000023841858,2023-08-08
1.7999999523162842,2023-08-09
1.9199999570846558,2023-08-10
1.8300000429153442,2023-08-11
1.809999942779541,2023-08-14
1.7100000381469727,2023-08-15
1.7400000095367432,2023-08-16
1.6699999570846558,2023-08-17
1.690000057220459,2023-08-18
1.659999966621399,2023-08-21
1.649999976158142,2023-08-22
1.7000000476837158,2023-08-23
1.559999942779541,2023-08-24
1.4299999475479126,2023-08-25
1.4500000476837158,2023-08-28
1.5800000429153442,2023-08-29
1.5,2023-08-30
1.4500000476837158,2023-08-31
1.4600000381469727,2023-09-01
1.5199999809265137,2023-09-05
1.4600000381469727,2023-09-06
1.4299999475479126,2023-09-07
1.3300000429153442,2023-09-08
1.2899999618530273,2023-09-11
1.3200000524520874,2023-09-12
1.25,2023-09-13
1.2599999904632568,2023-09-14
1.2899999618530273,2023-09-15
1.340000033378601,2023-09-18
1.2899999618530273,2023-09-19
1.3300000429153442,2023-09-20
1.309999942779541,2023-09-21
1.2999999523162842,2023-09-22
1.2200000286102295,2023-09-25
1.2599999904632568,2023-09-26
1.2300000190734863,2023-09-27
1.2599999904632568,2023-09-28
1.100000023841858,2023-09-29
1.0199999809265137,2023-10-02
0.875,2023-10-03
1.1399999856948853,2023-10-04
1.149999976158142,2023-10-05
1.1699999570846558,2023-10-06
1.2000000476837158,2023-10-09
1.1799999475479126,2023-10-10
1.1699999570846558,2023-10-11
1.1399999856948853,2023-10-12
1.100000023841858,2023-10-13
1.100000023841858,2023-10-16
1.1299999952316284,2023-10-17
1.100000023841858,2023-10-18
1.0499999523162842,2023-10-19
1.0299999713897705,2023-10-20
1.0,2023-10-23
0.9200000166893005,2023-10-24
0.8920000195503235,2023-10-25
0.9100000262260437,2023-10-26
0.9110000133514404,2023-10-27
0.9800000190734863,2023-10-30
1.0199999809265137,2023-10-31
1.0199999809265137,2023-11-01
1.0299999713897705,2023-11-02
1.1699999570846558,2023-11-03
1.2100000381469727,2023-11-06
1.149999976158142,2023-11-07
1.190000057220459,2023-11-08
1.1100000143051147,2023-11-09
1.0499999523162842,2023-11-10
0.9100000262260437,2023-11-13
0.949999988079071,2023-11-14
1.0199999809265137,2023-11-15
0.9869999885559082,2023-11-16
1.0299999713897705,2023-11-17
1.059999942779541,2023-11-20
1.0399999618530273,2023-11-21
1.0499999523162842,2023-11-22
1.0199999809265137,2023-11-24
0.9800000190734863,2023-11-27
0.9900000095367432,2023-11-28
1.0199999809265137,2023-11-29
1.0499999523162842,2023-11-30
1.0399999618530273,2023-12-01
1.0299999713897705,2023-12-04
1.0099999904632568,2023-12-05
1.0099999904632568,2023-12-06
1.0199999809265137,2023-12-07
1.0199999809265137,2023-12-08
1.0,2023-12-11
1.0,2023-12-12
1.0499999523162842,2023-12-13
1.0800000429153442,2023-12-14
1.0199999809265137,2023-12-15
1.0199999809265137,2023-12-18
1.0,2023-12-19
1.0,2023-12-20
1.0099999904632568,2023-12-21
1.0099999904632568,2023-12-22
1.0210000276565552,2023-12-26
1.0299999713897705,2023-12-27
1.100000023841858,2023-12-28
1.0700000524520874,2023-12-29
1.090000033378601,2024-01-02
1.100000023841858,2024-01-03
1.1200000047683716,2024-01-04
1.0399999618530273,2024-01-05
1.0499999523162842,2024-01-08
1.0099999904632568,2024-01-09
1.0,2024-01-10
0.9800000190734863,2024-01-11
0.9890000224113464,2024-01-12
0.8700000047683716,2024-01-16
0.8859999775886536,2024-01-17
0.8650000095367432,2024-01-18
0.8799999952316284,2024-01-19
0.8920000195503235,2024-01-22
0.8899999856948853,2024-01-23
0.8970000147819519,2024-01-24
0.8600000143051147,2024-01-25
0.8429999947547913,2024-01-26
0.8600000143051147,2024-01-29
0.8489999771118164,2024-01-30
0.8650000095367432,2024-01-31
0.8989999890327454,2024-02-01
0.8989999890327454,2024-02-02
0.8529999852180481,2024-02-05
0.9399999976158142,2024-02-06
0.8420000076293945,2024-02-07
0.8600000143051147,2024-02-08
0.9100000262260437,2024-02-09
0.9409999847412109,2024-02-12
0.9279999732971191,2024-02-13
1.0,2024-02-14
0.9300000071525574,2024-02-15
0.9190000295639038,2024-02-16
0.9390000104904175,2024-02-20
0.9200000166893005,2024-02-21
0.9269999861717224,2024-02-22
0.8999999761581421,2024-02-23
0.9259999990463257,2024-02-26
0.9390000104904175,2024-02-27
0.949999988079071,2024-02-28
0.9210000038146973,2024-02-29
0.949999988079071,2024-03-01
0.9900000095367432,2024-03-04
0.9800000190734863,2024-03-05
0.9760000109672546,2024-03-06
0.9309999942779541,2024-03-07
0.9620000123977661,2024-03-08
0.949999988079071,2024-03-11
0.9120000004768372,2024-03-12
0.9100000262260437,2024-03-13
0.8899999856948853,2024-03-14
0.8949999809265137,2024-03-15
0.8600000143051147,2024-03-18
0.8600000143051147,2024-03-19
0.8960000276565552,2024-03-20
0.8899999856948853,2024-03-21
0.8700000047683716,2024-03-22
0.9179999828338623,2024-03-25
0.9380000233650208,2024-03-26
0.9100000262260437,2024-03-27
0.9079999923706055,2024-03-28
0.9480000138282776,2024-04-01
0.9399999976158142,2024-04-02
0.9649999737739563,2024-04-03
1.340000033378601,2024-04-04
1.559999942779541,2024-04-05
1.3200000524520874,2024-04-08
1.0099999904632568,2024-04-09
